url,address,name,online_order,book_table,Dining(rate),Delivery(rate),Dining(votes),Delivery(votes),phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),reviews_list,menu_item,listed_in(type),listed_in(city)
https://www.zomato.com/mumbai/grace-kharghar-navi-mumbai,"Shop 15, Goodwill Paradise, Sector 15, Kharghar, Navi Mumbai",Grace,Yes,No,3.5,3.8,40,2084,"919969596430  ,  +919136071725","Kharghar, Navi Mumbai",Restaurant,"Recommended ,Breakfast ,Side Dish For Breakfast ,Meal ,Rice and Flavours ,Mallu Cravings ,Kappa and Combo ,Starters ,Main Course ,Indian Breads ,Biryani ,Indian Chinese ,Poth and Poth Only ,Eggetarian ,Snacks ,Drinks (Beverages) .","Kerala, North Indian, Chinese",?350 for two people (approx.),"good taste . 2.quantity is very less and taste is bad . 3. I've had good experiences from this restaurant earlier, but this time it was such a disappointment. Every item ordered turned out to be really bad. Please look into the quality of food prepared before sending it out to customers.",,Dine-in,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/bhuvika-bhavan-kharghar-navi-mumbai,"Shop G-57, Plot 18 to 27, C-Wing, Crystal Plaza, Sector 7, Kharghar, Navi Mumbai", Bhuvika Bhavan,Yes,No,N/A,4.2,N/A,597,9.18E+11,"Kharghar, Navi Mumbai",South Indian restaurant,"Recommended ,Tiffin ,Meals ,Thali ,South Indian ,Bevearges .",South Indian,?100 for one order (approx.),"Please avoid this place for ordering.food , they are not capable of delivering food on time . yet the accept order and take hours to prepare simple stuff. It is better that they dont accept orders , so that we can order from.some.other place . 2.Unresponsive is one big negative. An order for dahi vada remain un prepared even after one hour. When you call the restaurant they will not take your call so basically the customer has no clue about his order. 3. good.",,Delivery,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/cafe-monza-kharghar-navi-mumbai,"Plot 5/6, Bhoomi Heights, Opposite Sector 8, Kharghar, Navi Mumbai",Cafe Monza,Yes,No,4.6,4.1,3719,8499,9.19E+11,"Kharghar, Navi Mumbai",Café,"Recommended ,Soups and Salads ,Main Course ,Rice ,Pizza, Pasta and Risotto ,Burgers and Sandwiches ,Snacks ,Sides ,Desserts ,Drinks (Beverages) .","Fast Food, Mexican, Continental, Desserts, Beverages","?1,600 for two people (approx.)","Had ordered English breakfast , eggs benedict and burger
English breakfast - Not worth the price .. however the taste was good.. added sausages .. they were yum.. but for the price a normal English breakfast should include baked beans and hash browns too ..these we had to add for extra cost .. coffee too was machine one.. not too great ..
Similarly the bother and eggs benedict were completely average .. 2. The dip was missing with my burger
The buns were bad . 3. Great ordering from Cafe Monze over and over again.",,Cafe,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/food-coma-1-kharghar-navi-mumbai/order,"Shop 10, Suvrana Plot 13/14, Sector 7, Kharghar, Navi Mumbai",Food Coma,Yes,No,3.6,4.1,24,217,9.19E+11,"Kharghar, Navi Mumbai",Restaurant,"Recommended ,Momos ,Saucy Momos ,Kentucky Style Fried ,Kentucky Style Shrimp/Prawns ,PAV BHAJI Juhu Special ,All Day Sandwiches ,Shakes & Smoothies ,Food Coma Attractions ,Frankies and Rolls ,Sandwich Special Combos ,Add Extra With Everything ,HashBrowns .","Pizza, Sandwich, Momos, Rolls, Street Food, Beverages, Fast Food, Shake",?400 for two people (approx.),"Didnt sent Mayonnaise with both the Orders. 2. By far the best momos I had in terms of filling, it could have been crispier would have tasted better . 3. THE BEST TANDOORI MOMOS IN TOWN ARE HERE ??????????",, Dine-in ,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/oh-soy-kharghar-navi-mumbai/order,"Shop 7, Millennium Empire, D Mart Road, Sector 15, Kharghar, Navi Mumbai",Oh Soy,Yes,No,3.7,3.8,37,1752,9.19E+11,"Kharghar, Navi Mumbai",Asian restaurant,"Recommended ,Soups,Starters ,Main Course ,Rice,Noodles ,Drinks (Beverages) ,Desserts ,Momos ,Bao .
","Chinese, Thai, Japanese, Asian",?600 for two people (approx.),"The food was super bland, and compared to before, the quantity of veggies went down. There was chicken but no taste of anything. The only thing providing a bit of a flavour were the chillies.
Their food used to be so tasty but now it's becoming pathetic with every order. Their chefs need to be trained again to give us awesome food like before. Their starters taste like they've gone bad, and main course is crashing down in terms of taste.
Not ordering again from here until their reviews start improving.
Never expected such tasteless food from oh soy . 2. Zomato is day by day becoming a not reliable service to order from. This was the 3rd time a dish I ordered had gone bad and zomato just does not care.

voming to this place I have ordered from here quiet a few times and have always enjoyed the food but this time as well the chicken starter was not fresh and tasted pathetic. Noodles were good . 3. please properly fry the chicken lollypop the outer layer was very thick and uncooked kindly check while serving paneerKung Pau is awsm loved it .",,Dine-in,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/daawat-restaurant-kharghar-navi-mumbai/reviews,"Plot E/111, Nand Kirpa, Sector 12, Near Pooja Medical Store, Kharghar, Navi Mumbai",Daawat Restaurant,Yes,No,3.1,3.7,196,5141,9.18E+11,"Kharghar, Navi Mumbai",Mughlai restaurant,"Recommended ,Platters ,Soups ,Starters ,Main Course ,Breads ,Rice and Biryani ,Fried Rice and Noodles ,Snacks ,Accompaniments ,Desserts ,Drinks (Beverages) .","North Indian, Chinese, Mughlai, Seafood, Fast Food",?700 for two people (approx.),"not good . 2. it's totally vegetable Garvey you given as like panner masala.chiken pieces not cooked properly.next time I will not give any order to dawat .poor to poor quality. 3. worst serving and quality of food, felt like vommiting. ",, Dine-in,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/bhagat-tarachand-1-kharghar-navi-mumbai,"Plot 1, Pride Building, Utsav Chowk, Sector 7, Kharghar, Navi Mumbai",Bhagat Tarachand,Yes,No,3.8,4,218,4087,9.20E+11,"Kharghar, Navi Mumbai",North Indian restaurant,"Recommended ,Thali ,Starters ,Main Course ,Breads,Rice Varieties ,Quick Bites ,Accompaniments ,Chaat ,Desserts ,Drinks (Beverages) .","North Indian, Maharashtrian",?700 for two people (approx.),I order Paneer Biryani and this is all i get even pizza have more paneer topping then this biryani .  2. good . 3. Best quality food...and so delicious… .,,Dine-in ,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/behrouz-biryani-1-kharghar-navi-mumbai/order,"Shop 26 - 28 Simran Residency, Service Road Sector 7, Kharghar, Navi Mumbai",Behrouz Biryani,Yes,No,N/A,4,0,26,9.18E+11,"Kharghar, Navi Mumbai",Biryani restaurant,"Recommended ,Jashna-E-Behrouz (Kebab platter & beverage at Rs50),Shahi Biryani (serves 1) ,Shaan Biryani (serves 2) ,Alishaan Biryani (serves 4) ,Hyderabad-E-Khaas [Spicy] ,Dastaan-E-Kebab ,Bahaar (Extra Meat Biryanis) ,Royal Combos ,Biryani Combos ,Make Your Royal Feast,Shirin & Sherbet .","Biryani, Mughlai, Lucknowi, Hyderabadi, Kebab, North Indian, Desserts",?450 for one order (approx.),"horrible biryani in name of vegetables there are big pieces of carrots 2 pieces of rubbery paneer .shame in the name of shaan e subz biryani .rice covering it is stale and dry not fresh . 2. Worst taste, mutton was half cooked, low quality rice utilised entire Rs: 1600/- was waste, simply throwing in dustbin, we have been given cooking instructions even though delivered worst Biriyani . 3. I ordered a coca cola 475 ml with my order and they didn't deliver it. Also they don't pick up your call at all so that probably you can't even complain to them. ",,Delivery,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/swaraj-kharghar-navi-mumbai/order,"18/27, Crystal Plaza, Sector 7, Near Kharghar, Navi Mumbai, Kharghar, Navi Mumbai",Swaraj,Yes,Yes,3.9,3.8,280,1658,9.12E+11,"Kharghar, Navi Mumbai",Restaurant,"Recommended ,Soups and Salads ,Starters ,Main Course ,Breads ,Rice and Biryani ,Fried Rice and Noodles ,Pizzas ,Sandwiches ,Accompaniments ,Desserts and Beverages .","North Indian, Chinese, South Indian, Fast Food, Beverages, Shake",?650 for two people (approx.),"chicken was stale & rotten . 2.worst packing.
overrated restaurant. 3. very pathetic taste veg biryani and chicken biryani...plz my money is waste.......next time not given order.....very bad taste.....",,Dine-in ,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/pranaam-fine-dine-kharghar-navi-mumbai,"Shop 23 & 24, Utsav Chowk Central Park Road, Sector 12, Kharghar, Navi Mumbai",Pranaam Fine Dine,Yes,Yes,3.9,3.8,509,16300,9127746700,"Kharghar, Navi Mumbai",Restaurant,"Recommended ,Soup ,Indian Appetizers ,Chinese Appetizers ,Indian Main Course ,Indian Breads,Biryani & Rice ,Accompaniments ,Chinese Main Course ,Desserts ,Rice & Noodles ,Bestseller Combos .","North Indian, Chinese, Mughlai, Seafood, Thai",?850 for two people (approx.),"Felt like eating boiled noodles, and adding to this they missed to send shezwan chutney also.. 2. Delivery service was excellent. 3. delivery boy was suffering from cold n cough, it could be anything, be careful for the next time also didn't carry chages better delete the option COD as it is for show. ",,Dine-in,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/meraki-kharghar-navi-mumbai,"16, Balaji Aangan, 1, Near NIFT College, Sector 3, Kharghar, Navi Mumbai",Meraki,Yes,No,N/A,3.9,N/A,12500,9.18E+11,"Kharghar, Navi Mumbai",Chinese restaurant,"Recommended ,Soups ,Make Your Own Wok Box ,Meals ,Appetizers ,Gravies ,Rice ,Noodles,Drinks ,Desserts ,Extras ,Guilt Free .","Chinese, Thai, Burmese, Asian, Seafood, Fast Food",?300 for one order (approx.),"Inspite of calling and requestingfor cutlery. They did not send it. When I called back, the guy hung up before I could finish talking. I did not enjoy my meal. It was very hot. I had no time so it wasn't possible to eat noodles by hand. I HAD leave most of the food. The worst experience . 2. Tried the food . Loved it. One of my go to outlet s for food. 3.  food was really good and amazing as well. Highly appreciated it up guys always.food to them without any issues at all.",,Dine-in,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/hot-wok-kharghar-navi-mumbai,"Shop 20, Plot 28, Bhoomi Tower, Sector 4, Near ITM College, Kharghar, Navi Mumbai",Hot Wok,Yes,No,4.1,3.9,642,13800,9.18E+11,"Kharghar, Navi Mumbai",Chinese restaurant,"Recommended ,Soups ,Appetizers ,Main Course,Drinks (Beverages) ,Fried Rice And Noodles ,Hot Wok [Hot Boxes] [Serves 1] ,Appetizer [Non-Veg] .","Chinese, Thai, Asian",?800 for two people (approx.),"No salt !!!! Happened twice !! I still love it  . 2. i couldn't digest it and vomited next morning eating it. please don't use stale products, it can seriously harm someone
not going to order anything from here now . 3 .Excellent .",,Dine-in,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/shivs-veg-proud-3-kharghar-navi-mumbai,"Shop 1, Plot 3A, Ground Floor, Goodwill Infinity, Near Jesi Motar, Kharghar, Navi Mumbai",Shiv's Veg & Proud,Yes,No,2.9,3.7,14,932,9.17E+11,"Kharghar, Navi Mumbai",Fast food restaurant,"Recommended ,Combos ,Soups ,Starters ,Main Course ,Breads ,Rice and Biryani ,South Indian ,Fired Rice and Noodles ,Sandwiches ,Snacks ,Accompaniments ,Dessert .","North Indian, South Indian, Fast Food, Chinese, Mughlai, Maharashtrian",?600 for two people (approx.),delayed a lot . 2. Items missing . 3.  Street food taste better than this 3rd grade restaurant .,,Dine-in ,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/smokin-joes-kharghar-navi-mumbai/order,"16, Sector 19, Daffodils Apartment, Kharghar, Navi Mumbai",Smokin' Joe's,Yes,No,3.8,3.6,391,3383,9.20E+11,"Kharghar, Navi Mumbai",Pizza restaurant,"Recommended ,Veg Italian Pizza,Non Veg Italian Pizza ,Combos ,Pizzas ,Jain Pizzas ,Drinks (Beverages) ,Pizza Sandwich ,Super Side Orders .","Pizza, Fast Food, Italian, Beverages",?500 for two people (approx.),"Pizza was very nice however there is room for improvement. 2.Spicy food . 3. Servers are also great and always efficient, happy and polite. Love this place and will continue to visit.",,Dine-in ,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/suryoday-kharghar-navi-mumbai,"Shop 03/ 04, Plot 51-B, Mita Heights CHS, Sector 20, Opposite Ramseth Thakur School, Kharghar, Navi Mumbai",Suryoday,Yes,No,3.9,4,115,690,9.20E+11,"Kharghar, Navi Mumbai",Restaurant,"Recommended ,Soups and Salads ,Starters ,Sizzlers ,Main Course ,Fried Rice and Noodles ,Pasta ,Pizza ,Sandwiches ,Snacks ,Drinks (Beverages) ,Accompaniments ,Desserts .","North Indian, Chinese, South Indian, Fast Food, Shake",?500 for two people (approx.),Cholle was fresh and yummy Nice packaging what I loved was bhature very less oil in it nice soft and warm keep it up . 2. I received only 1 Aloo Paratha wherein I had ordered & paid for 2!!! . 3. Best hotel for vegetarians. Paneer shashlik sizzler is my personal favourite. Once suggestion please update the songs list which is played at the restaurant ?? .,,Dine-in ,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/cheelizza-india-ka-pizza-kharghar-navi-mumbai/order,"Shop 1A, Plot 184, Haawre Tiara Shopping Complex, Raghunath Vihar, Sector 13, Kharghar, Navi Mumbai",Cheelizza - India Ka Pizza,Yes,No,4,4.1,358,7788,9.12E+11,"Kharghar, Navi Mumbai",Pizza restaurant,"Recommended ,Great Offers-Buy One Get One Free ,Pizzas ,Guilt Free Pizza ,Rice ,Pastas ,Garlic Breads ,Nachos ,Pizza Fondue ,Stuff Crust Pizza ,Cheelizza Cold Beverages ,Desserts ,Fun Time Pizzas ,Dips ,Drinks (Beverages) ,Frenzy Fries ,Small Bites ,Ice Tea.","Pizza, Fast Food, Desserts, Beverages, Pasta",?500 for two people (approx.),"pizza was very nice however there is room for improvement . 2. disappointed with the quantity almost half of the box was empty . 3. i have been a fan of cheelizza for quite some time and have tried all there pastas they are amazing and I have no issues with the quality of food but the quantity has been decreased by a lot from the last time I had ordered, paying 229 and getting a small bowl of pasta doesn't make please have a look at it . ",, Dine-in ,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/el-tacos-kharghar-navi-mumbai/order,"Shop 3, Plot 9/12, Shah Royale Building, Sector 2, Opposite Glomax, Kharghar, Navi Mumbai",EL Tacos,Yes ,No,4,4.3,100,531,9.17E+11,"Kharghar, Navi Mumbai",Restaurant,"Recommended ,Tacos ,Bowls ,Burger'S ,Sub Sandwiches ,Torta [Mexican Street Sandwich] ,Snacks ,Fries ,Burritos ,Nachos ,Enchilada ,Quesadilla ,Dessert .","Mexican, Tex-Mex",?350 for two people (approx.),"Visited Restaurant
Very nice place and ambience was really great
Dishes very nice & tasty
Presentation was nice
Nice place to have authentic Mexican Food
Me with 3 other enjoyed food and ambience . 2. Bit more portion for heavy breakfast . 3. I am not a huge fan of mexican food but i loved this restaurant. The taste was amazing. We ordered Quesadillas and they were properly priced and super yum. The quality of their food is really good. It did take them an hour to deliver it but it was worth the wait. I look forward to trying more items.",,Dine-in ,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/tibbs-frankie-1-kharghar-navi-mumbai/order,"Shop 36, Plot 28, Bhumi Tower, Sector 4, Near ITM College, Kharghar, Navi Mumbai",Tibb's Frankie,Yes,No,N/A,3.9,N/A,969,9.18E+11,"Kharghar, Navi Mumbai",Restaurant,"Recommended ,Mega Savers ,Meat Lovers Pro ,Veggie Bonanza ,TIBB'S Curry Rice ,The Classics ,100% Veggies ,Meat Lovers ,Dessert ,Shikanji ,Drinks (Beverages) .","Rolls, Fast Food",?200 for one order (approx.),The Frankie just tastes not upto the mark. 2. good . 3. The Tawa paneer roll was lacking any sort of filling .. i have attached picture for reference... Tibbs used to be a name in Frankie's earlier .. Have known it since it's early outlet in vashi .. Alas only the name remains .  ,,Dine-in,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/burger-king-kharghar-navi-mumbai/order,"Shop 1 - 4, Ground Floor, Little World, Sector 2, Kharghar, Navi Mumbai",Burger King,Yes,No,3.6,4,4,1023,9.17E+11,"Kharghar, Navi Mumbai",Fast food restaurant,"Recommended ,Limited time Offer (FREE Fries) ,Whop-A-Coffee Combos ,King Deals ( Save Rs 74) ,New Kings Collection ,Home Delight Combos ,Friends & Family Combo ,Whopper ,BK Café ,High on Coffee Combos ,Meal Combos (Save Rs 45) ,Burgers & Wraps ,What's New,Sides ,Drinks (Beverages) ,Desserts ,Chicken Wings .","Burger, Fast Food, Street Food, Desserts, Beverages",?300 for two people (approx.),"I was so hungry I thought they will give me good food but I was scamed  . 2. Incomplete order received , received burger without tikki , taste watery bad  3. worth it ?? ",,Dine-in,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/wow-momo-kharghar-navi-mumbai/order,"Shop 19, Plot 28, Ground Floor, Bhoomi Towers, Sector 4, Kharghar, Navi Mumbai",WOW! Momo,Yes,No,3,4.2,12,1482,9.18E+11,"Kharghar, Navi Mumbai",Asian restaurant,"Today's Exclusive Dishes ,Recommended ,Wow! Wednesday,Bounce Back 2.1 Combos (Save Upto 45%) ,2022 Feast Up COMBOS,Chilli Momos (New Launch) ,Steam Momo ,Fried Momo ,Pan Fried Momo ,Butter Momo ,Tandoori Momo ,Burgers [Momo] ,Dessert ,Drinks (Beverages) .","Momos, Fast Food",?400 for two people (approx.),"Top layer was not cooked properly . 2.Pathetic food.... does not do justice to the name !!!! they should name it NOT so wow momos?????? the staff was very unprofessional they don't know what they are doing, they don't even know the name of the sauces used in momos.... Sauce was stale and had a very weird taste and smell .....very disappointed ????????  3. Stale food.",,Dine-in ,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/ugren-tea-time-treats-kharghar-navi-mumbai/order,"Shop 13, Ground Floor, Shubh Home Tower, Plot 78, Sector 20, Kharghar, Navi Mumbai",Ugren Tea Time Treats,Yes,No,N/A,4.3,N/A,53,9.20E+11,"Kharghar, Navi Mumbai",Bakery and Cake Shop,"Recommended ,Breads ,Cakes ,Cookies ,Desserts .","Bakery, Desserts",?100 for one order (approx.),"Such delicious indulgence??
Scrumptious pie ever had.
Can’t thank this restaurant for such amazing treats??. 2. ONE OF THE BEST APPLE PIE I HAD AFTER A LONG TIME and the orange cake was amazing aswell would definitely recommend it too my friends. 3. Loved the cookies that I had ordered the other day. They were really soft and delicious. Would definitely recommend others",,Delivery,"Kharghar, Navi Mumbai"
